target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
004370.KS,"['007310.KS', '271560.KS', '097950.KS', '011070.KS', '004170.KS']","[0.6910729982810434, 0.5720324530586353, 0.5413703173281498, 0.5036799359066174, 0.4754234151044448]","['010130.KS', '042660.KS', '377300.KS', '052690.KS', '457190.KS']","[-0.20141900696163406, -0.15856973366247906, -0.1455138224243983, -0.12151801742648022, -0.1180837790321068]"
004990.KS,"['088350.KS', '003090.KS', '001720.KS', '002380.KS', '078930.KS']","[0.7123058079794234, 0.6820613400069817, 0.6624461865882559, 0.6594957108666725, 0.6574848734829395]","['042660.KS', '272210.KS', '017960.KS', '052690.KS', '010130.KS']","[-0.11664592405950047, -0.08077680300260517, -0.06240806846852827, -0.05619920591323839, -0.04856772192763696]"
005070.KS,"['361610.KS', '066970.KS', '450080.KS', '003670.KS', '020150.KS']","[0.7811416682376009, 0.7774202966306928, 0.7545531665432289, 0.7355036802244064, 0.6989020004053083]","['294870.KS', '267260.KS', '272210.KS', '443060.KS', '042660.KS']","[-0.2778020439736658, -0.23149844879795128, -0.2304512431086525, -0.22068499791519458, -0.21713202346211208]"
005380.KS,"['005385.KS', '005387.KS', '011210.KS', '000270.KS', '034220.KS']","[0.8451321772540235, 0.8019509519757724, 0.7013929185785052, 0.6950841825144176, 0.5917666437175082]","['010130.KS', '103590.KS', '017800.KS', '017960.KS', '111770.KS']","[-0.18210311470871401, -0.17617110389492766, -0.1321769946789412, -0.12073791457591573, -0.07937590574729347]"
005385.KS,"['005387.KS', '005380.KS', '000270.KS', '011210.KS', '066570.KS']","[0.93630242499653, 0.8451321772540235, 0.6634543586231626, 0.6500258176240645, 0.5951590697868152]","['017960.KS', '017800.KS', '161890.KS', '062040.KS', '012450.KS']","[-0.10947455395058639, -0.10334335199638758, -0.06570195888039537, -0.0525688488647943, -0.030629657747547175]"
005387.KS,"['005385.KS', '005380.KS', '066570.KS', '000270.KS', '011210.KS']","[0.93630242499653, 0.8019509519757724, 0.66821814485244, 0.6608630346954294, 0.6168895435666171]","['161890.KS', '017800.KS', '139480.KS', '017960.KS', '375500.KS']","[-0.12019842483260562, -0.09769750032553237, -0.07998483957861394, -0.06039960552385119, -0.060250240000807205]"
005490.KS,"['051910.KS', '004020.KS', '047050.KS', '096770.KS', '011170.KS']","[0.8399266463395032, 0.7893748818135655, 0.7243601803582654, 0.7025993818036914, 0.6661972754569765]","['017800.KS', '326030.KS', '062040.KS', '352820.KS', '009450.KS']","[-0.22265183622933002, -0.15411811483118262, -0.1437652742658595, -0.1406304300877655, -0.13594059401903794]"
005830.KS,"['024110.KS', '001450.KS', '006800.KS', '071050.KS', '003550.KS']","[0.6877467570679495, 0.65072564432955, 0.6236726643723904, 0.6199018717998485, 0.6163731628017679]","['009450.KS', '042660.KS', '267270.KS', '241560.KS', '103590.KS']","[-0.1469894928093075, -0.14645126648465404, -0.07554625174254735, -0.05722504673889664, -0.04179444933931275]"
005850.KS,"['066570.KS', '450080.KS', '011210.KS', '022100.KS', '005387.KS']","[0.6169452352012719, 0.5502007543362856, 0.5464861955646533, 0.5305830059071515, 0.5252356201429913]","['272210.KS', '042660.KS', '329180.KS', '000720.KS', '017800.KS']","[-0.23427746972651295, -0.18412408455101123, -0.17769575777194893, -0.1717234050737584, -0.16896853537646073]"
005930.KS,"['005935.KS', '000990.KS', '066570.KS', '009150.KS', '006400.KS']","[0.9118286908573223, 0.6513046586342958, 0.5570279079655387, 0.5487717638552745, 0.5326715816207122]","['443060.KS', '010130.KS', '009420.KS', '009540.KS', '012510.KS']","[-0.21352460883609425, -0.2125266569621061, -0.14612543148485774, -0.13584421604551186, -0.13016873387876976]"
005935.KS,"['005930.KS', '066570.KS', '097950.KS', '011070.KS', '000990.KS']","[0.9118286908573223, 0.6173864928159258, 0.5727598044186898, 0.5400547830399791, 0.5383614268375403]","['017800.KS', '443060.KS', '010130.KS', '001720.KS', '051600.KS']","[-0.20882807405862275, -0.15799535095586667, -0.15099608845410487, -0.11161287170159996, -0.10387552102376282]"
005940.KS,"['071050.KS', '139130.KS', '006800.KS', '016360.KS', '024110.KS']","[0.8169490207387897, 0.7712785837839725, 0.7433674404474576, 0.7257833427049424, 0.7108536341837517]","['042660.KS', '012450.KS', '017960.KS', '373220.KS', '009450.KS']","[-0.15288195927496584, -0.09587181898847055, -0.0742215145978943, -0.04044352029191077, -0.03673984990248021]"
006040.KS,"['462870.KS', '004170.KS', '012630.KS', '020560.KS', '282330.KS']","[0.5014109994255069, 0.47047104849046945, 0.4699354629502737, 0.4684320744639069, 0.44771297828679835]","['042660.KS', '010130.KS', '000150.KS', '329180.KS', '138040.KS']","[-0.18595731506169805, -0.1261523830306437, -0.06679676479758899, -0.06308955932113354, -0.0398200526046211]"
006260.KS,"['001440.KS', '010120.KS', '000660.KS', '014680.KS', '001040.KS']","[0.5529677517511771, 0.5488262500386917, 0.5448278079457521, 0.5357931769570231, 0.5329797552185137]","['081660.KS', '139480.KS', '030200.KS', '395400.KS', '097950.KS']","[-0.18282204031585866, -0.1589260192839163, -0.14171570571531308, -0.11707422116810352, -0.10380651790201609]"
006280.KS,"['185750.KS', '068270.KS', '000100.KS', '326030.KS', '128940.KS']","[0.6198427978205585, 0.5240903857639257, 0.4907272871478938, 0.4880725785044797, 0.4353081147923011]","['042660.KS', '373220.KS', '204320.KS', '192820.KS', '011790.KS']","[-0.16362643506373364, -0.13843583776031906, -0.10608219993486204, -0.10190170690440829, -0.08384332319945854]"
006360.KS,"['047040.KS', '000720.KS', '078930.KS', '000880.KS', '028260.KS']","[0.7326425913172013, 0.6136304982100492, 0.5884883067720877, 0.5713759774574659, 0.5502026029136692]","['204320.KS', '373220.KS', '009450.KS', '011790.KS', '192080.KS']","[-0.09239323581797182, -0.08493969402097931, -0.07735091669530862, -0.07422087945555658, -0.05992152008215579]"
006400.KS,"['361610.KS', '373220.KS', '003670.KS', '005070.KS', '020150.KS']","[0.6888064223150355, 0.6624438594248183, 0.6560700639410484, 0.649747214809208, 0.6411818916980383]","['272210.KS', '010130.KS', '062040.KS', '329180.KS', '443060.KS']","[-0.26492939220558315, -0.19470209629436377, -0.1879182319997119, -0.18280144772465237, -0.17622286907591686]"
